model,specification,dependent_variable,independent_variable,coef,std_error,t_stat,p_value,r2,n_obs
1,Pooled OLS,asset_growth,leverage_growth,0.34914423590152055,0.13437336609954068,2.598314279355647,0.009368270710810755,0.12808227896090763,1115
2,Bank FE,asset_growth,leverage_growth,0.3494785980124388,0.12816636253661656,2.726757560218613,0.006497409986450986,0.129506607641503,1115
3,Time FE,asset_growth,leverage_growth,0.39695000255247564,0.14293584195240983,2.777120119981098,0.005585685458053158,0.12711706425341018,1115
4,Bank + Time FE,asset_growth,leverage_growth,0.3976312760634831,0.14382455280369394,2.7646967663873765,0.005802253356189224,0.12704798628720004,1115
