Model,N,N_banks,R_squared_within,b_cet1_lag1,b_int_unitvar_cet1,b_int_unitvar_lcr,b_lcr_lag1,b_log_unit_var,b_log_var_99_level,p_cet1_lag1,p_int_unitvar_cet1,p_int_unitvar_lcr,p_lcr_lag1,p_log_unit_var,p_log_var_99_level,se_cet1_lag1,se_int_unitvar_cet1,se_int_unitvar_lcr,se_lcr_lag1,se_log_unit_var,se_log_var_99_level,t_cet1_lag1,t_int_unitvar_cet1,t_int_unitvar_lcr,t_lcr_lag1,t_log_unit_var,t_log_var_99_level
Model_1_Leverage,282,6,5.295043414266232e-05,,,,,-0.002596976972171387,,,,,,0.9517127280560449,,,,,,0.04284635318096547,,,,,,-0.06061138882001973,
Model_2_Assets,282,6,0.11715993023973381,,,,,,0.18933202953087988,,,,,,0.06310745982035892,,,,,,0.10146473580222962,,,,,,1.8659884937749913
Model_3_Equity,282,6,0.012613980966592608,,,,,,0.03852049676592521,,,,,,0.5127120702832904,,,,,,0.05876759867087218,,,,,,0.6554716823067619
Model_4A_LCR,205,6,0.08733458417550533,,,0.6035783280612774,5.294469554269195,-0.7062269344504495,,,,0.01410981150579782,0.019410179319631293,0.020075370962111094,,,,0.24370906632416356,2.2462895041388293,0.30128100828338755,,,,2.4766346905553474,2.356984504674949,-2.344080493072986,
Model_4B_CET1,268,6,0.05549329208129983,-9.655546630611303,-1.1826569179079902,,,0.1651083609038998,,0.6524104705068825,0.5464505309282797,,,0.492331465676459,,21.412067942633715,1.9584232990802708,,,0.24012905876731716,,-0.45093947284680885,-0.6038821732070887,,,0.687581760206241,
Model_4C_LCR_CET1,205,6,0.08798342522501013,2.2610822941765707,0.24805844687543827,0.6238038719343507,5.490146784131142,-0.7643883038677887,,0.9057723470564498,0.8843498491896506,0.012680865286282428,0.015997018008652164,0.043664955354591806,,19.07643689440905,1.7031271059436726,0.2479364567868481,2.259058923118277,0.37644282126020456,,0.11852749581549225,0.14564881623323908,2.515982845034513,2.430280471194109,-2.0305561979077527,
