Model,N,N_banks,R_squared_within,b_int_unitvar_lcr,b_lcr_lag1,b_log_unit_var,b_log_var_99_level,p_int_unitvar_lcr,p_lcr_lag1,p_log_unit_var,p_log_var_99_level,se_int_unitvar_lcr,se_lcr_lag1,se_log_unit_var,se_log_var_99_level,t_int_unitvar_lcr,t_lcr_lag1,t_log_unit_var,t_log_var_99_level
Model_1_Leverage,282,6,5.295043414266232e-05,,,-0.002596976972171387,,,,0.9517127280560449,,,,0.04284635318096547,,,,-0.06061138882001973,
Model_2_Assets,282,6,0.11715993023973381,,,,0.18933202953087988,,,,0.06310745982035892,,,,0.10146473580222962,,,,1.8659884937749913
Model_3_Equity,282,6,0.012613980966592608,,,,0.03852049676592521,,,,0.5127120702832904,,,,0.05876759867087218,,,,0.6554716823067619
Model_4A_LCR,205,6,0.08733458417550533,0.6035783280612774,5.294469554269195,-0.7062269344504495,,0.01410981150579782,0.019410179319631293,0.020075370962111094,,0.24370906632416356,2.2462895041388293,0.30128100828338755,,2.4766346905553474,2.356984504674949,-2.344080493072986,
Model_5_LCR_only,205,6,0.05268109645609065,,-0.5624339774500049,,,,0.024013505950061464,,,,0.24728818440967576,,,,-2.2744069992371148,,
