estimator,model,dependent_var,independent_var,const,beta,se,t_stat,p_value,r_squared,n_obs,n_banks,n_periods
FE,Model 1: Leverage,log_leverage,log_unit_var,,-0.09354078186957827,0.051773096858790474,-1.8067449610887267,0.072996731994863,0.058868976089150094,141,3,47
FE,Model 2: Assets,log_total_assets,log_var_99_level,,0.3995758895032627,0.1911751036720289,2.0901042124645923,0.03845671354669977,0.19506758719774586,141,3,47
FE,Model 3: Equity,log_common_equity_total,log_var_99_level,,0.1943675028276122,0.14162564974228897,1.3724032559165353,0.17218065400871918,0.10241430599955903,141,3,47
Pooled,Model 1: Leverage,log_leverage,log_unit_var,2.7036291330856326,0.015926309974082814,0.012317643055920171,1.2929673235195938,0.1981672581022791,0.011500389594281901,141,3,47
Pooled,Model 2: Assets,log_total_assets,log_var_99_level,15.221841744714277,-0.2250414275430626,0.33656443042438927,-0.6686429319322239,0.5048321852789233,0.019233327488169305,141,3,47
Pooled,Model 3: Equity,log_common_equity_total,log_var_99_level,13.440757700917258,-0.40042909474478916,0.3333660799899532,-1.2011692814003665,0.2317282913491825,0.06407428863634002,141,3,47
