estimator,model,dependent_var,independent_var,const,beta,se,t_stat,p_value,r_squared,n_obs,n_banks,n_periods
FE,Model 1: Leverage,log_leverage,log_unit_var,2.445840938946891,-0.002596976972171387,0.04284635318096547,-0.06061138882001973,0.9517127280560449,5.295043414266232e-05,282,6,47
FE,Model 2: Assets,log_total_assets,log_var_99_level,13.614948730325667,0.18933202953087988,0.10146473580222962,1.8659884937749913,0.06310745982035892,0.11715993023973381,282,6,47
FE,Model 3: Equity,log_common_equity_total,log_var_99_level,11.782960415449574,0.03852049676592521,0.05876759867087218,0.6554716823067619,0.5127120702832904,0.012613980966592608,282,6,47
Pooled,Model 1: Leverage,log_leverage,log_unit_var,2.9797784982154636,0.04988749918256971,0.02742564538928773,1.8190091235575965,0.06997810769611035,0.06945322115007924,282,6,47
Pooled,Model 2: Assets,log_total_assets,log_var_99_level,14.469168721370524,-0.011873338099142792,0.09582582517030383,-0.12390540940337562,0.9014790692185055,0.00022564695466931184,282,6,47
Pooled,Model 3: Equity,log_common_equity_total,log_var_99_level,12.336777653150039,-0.09192716552194259,0.12842792988422366,-0.7157879567537521,0.4747187809634874,0.01227912463172065,282,6,47
