bank,date,var_99_gaussian,var_99_boa_factor
wellsfargo,2021-06-30,43.0,43.0
bny,2021-06-30,3.0,3.0
statestreet,2021-06-30,16.594,16.594
goldmansachs,2021-03-31,125.87439842496288,178.0
morganstanley,2021-03-31,97.58801675643188,138.0
jpmorgan,2021-03-31,149.9178228432142,212.0
citigroup,2021-03-31,123.0,123.0
bankofamerica,2021-03-31,99.0,99.0
wellsfargo,2021-03-31,98.0,98.0
bny,2021-03-31,3.2,3.2
statestreet,2021-03-31,15.187,15.187
goldmansachs,2020-12-31,118.80280300783012,168.0
morganstanley,2020-12-31,77.7875495884602,110.0
jpmorgan,2020-12-31,135.7746320089487,192.0
citigroup,2020-12-31,126.0,126.0
bankofamerica,2020-12-31,74.0,74.0
wellsfargo,2020-12-31,151.0,151.0
bny,2020-12-31,3.5,3.5
statestreet,2020-12-31,16.61,16.61
goldmansachs,2020-09-30,128.70303659181596,182.0
morganstanley,2020-09-30,82.03050683873985,116.0
jpmorgan,2020-09-30,127.28871750838942,180.0
citigroup,2020-09-30,130.0,130.0
bankofamerica,2020-09-30,71.0,71.0
wellsfargo,2020-09-30,153.0,153.0
bny,2020-09-30,3.4,3.4
statestreet,2020-09-30,14.718,14.718
goldmansachs,2020-06-30,172.546928178039,244.0
morganstanley,2020-06-30,84.85914500559295,120.0
jpmorgan,2020-06-30,183.86148084545138,260.0
citigroup,2020-06-30,245.0,245.0
bankofamerica,2020-06-30,89.0,89.0
wellsfargo,2020-06-30,155.0,155.0
bny,2020-06-30,4.7,4.7
statestreet,2020-06-30,11.255,11.255
goldmansachs,2020-03-31,114.55984575755048,162.0
morganstanley,2020-03-31,56.572763337061964,80.0
jpmorgan,2020-03-31,83.4448259221664,118.0
citigroup,2020-03-31,119.0,119.0
bankofamerica,2020-03-31,99.0,99.0
wellsfargo,2020-03-31,33.0,33.0
bny,2020-03-31,6.4,6.4
statestreet,2020-03-31,9.528,9.528
goldmansachs,2019-12-31,82.03050683873985,116.0
morganstanley,2019-12-31,55.158444253635416,78.0
jpmorgan,2019-12-31,52.32980608678232,74.0
citigroup,2019-12-31,67.0,67.0
bankofamerica,2019-12-31,86.0,86.0
wellsfargo,2019-12-31,31.0,31.0
bny,2019-12-31,5.7,5.7
statestreet,2019-12-31,10.104,10.104
goldmansachs,2019-09-30,82.03050683873985,116.0
morganstanley,2019-09-30,59.40140150391506,84.0
jpmorgan,2019-09-30,55.158444253635416,78.0
citigroup,2019-09-30,66.0,66.0
bankofamerica,2019-09-30,81.0,81.0
wellsfargo,2019-09-30,24.0,24.0
bny,2019-09-30,6.1,6.1
statestreet,2019-09-30,10.438,10.438
goldmansachs,2019-06-30,73.54459233818055,104.0
morganstanley,2019-06-30,59.40140150391506,84.0
jpmorgan,2019-06-30,65.05867783762126,92.0
citigroup,2019-06-30,69.0,69.0
bankofamerica,2019-06-30,96.0,96.0
wellsfargo,2019-06-30,20.0,20.0
bny,2019-06-30,5.3,5.3
statestreet,2019-06-30,10.937,10.937
goldmansachs,2019-03-31,77.7875495884602,110.0
morganstanley,2019-03-31,65.05867783762126,92.0
jpmorgan,2019-03-31,73.54459233818055,104.0
citigroup,2019-03-31,81.0,81.0
bankofamerica,2019-03-31,85.0,85.0
wellsfargo,2019-03-31,15.0,15.0
bny,2019-03-31,6.2,6.2
statestreet,2019-03-31,9.872,9.872
goldmansachs,2018-12-31,69.3016350879009,98.0
morganstanley,2018-12-31,69.3016350879009,98.0
jpmorgan,2018-12-31,72.130273254754,102.0
citigroup,2018-12-31,95.0,95.0
bankofamerica,2018-12-31,86.0,86.0
wellsfargo,2018-12-31,16.0,16.0
bny,2018-12-31,6.6,6.6
statestreet,2018-12-31,10.64,10.64
goldmansachs,2018-09-30,74.9589114216071,106.0
morganstanley,2018-09-30,59.40140150391506,84.0
jpmorgan,2018-09-30,49.501167919929216,70.0
citigroup,2018-09-30,82.0,82.0
bankofamerica,2018-09-30,77.0,77.0
wellsfargo,2018-09-30,12.0,12.0
bny,2018-09-30,4.7,4.7
statestreet,2018-09-30,6.011,6.011
goldmansachs,2018-06-30,90.51642133929914,128.0
morganstanley,2018-06-30,62.230039670768164,88.0
jpmorgan,2018-06-30,49.501167919929216,70.0
citigroup,2018-06-30,90.0,90.0
bankofamerica,2018-06-30,96.0,96.0
wellsfargo,2018-06-30,15.0,15.0
bny,2018-06-30,5.3,5.3
statestreet,2018-06-30,6.548,6.548
goldmansachs,2018-03-31,103.24529309013809,146.0
morganstanley,2018-03-31,65.05867783762126,92.0
jpmorgan,2018-03-31,60.81572058734161,86.0
citigroup,2018-03-31,102.0,102.0
bankofamerica,2018-03-31,85.0,85.0
wellsfargo,2018-03-31,17.0,17.0
bny,2018-03-31,6.5,6.5
statestreet,2018-03-31,6.62,6.62
goldmansachs,2017-12-31,76.37323050503365,108.0
morganstanley,2017-12-31,53.74412517020887,76.0
jpmorgan,2017-12-31,48.08684883650267,68.0
citigroup,2017-12-31,93.0,93.0
bankofamerica,2017-12-31,86.0,86.0
wellsfargo,2017-12-31,13.0,13.0
bny,2017-12-31,5.0,5.0
statestreet,2017-12-31,8.475,8.475
goldmansachs,2017-09-30,66.47299692104781,94.0
morganstanley,2017-09-30,60.81572058734161,86.0
jpmorgan,2017-09-30,42.429572502796475,60.0
citigroup,2017-09-30,89.0,89.0
bankofamerica,2017-09-30,81.0,81.0
wellsfargo,2017-09-30,15.0,15.0
bny,2017-09-30,3.8,3.8
statestreet,2017-09-30,7.546,7.546
goldmansachs,2017-06-30,72.130273254754,102.0
morganstanley,2017-06-30,72.130273254754,102.0
jpmorgan,2017-06-30,38.18661525251682,54.0
citigroup,2017-06-30,96.0,96.0
bankofamerica,2017-06-30,96.0,96.0
wellsfargo,2017-06-30,29.0,29.0
