model,specification,dependent_variable,independent_variable,coef,std_error,t_stat,p_value,r2,n_obs
1,Pooled OLS,asset_growth,leverage_growth,0.5996336641735297,0.12733641169471732,4.709051057690564,2.4887272963794135e-06,0.3934583631392786,385
2,Bank FE,asset_growth,leverage_growth,0.6026244655673898,0.11873403626599212,5.0754146369400726,6.085200650041145e-07,0.4010340097778733,385
3,Time FE,asset_growth,leverage_growth,0.5352050127924243,0.06759727602449969,7.917552958767845,3.752553823233029e-14,0.39601453666506836,385
4,Bank + Time FE,asset_growth,leverage_growth,0.5398639591149692,0.06980874040767211,7.733472283875174,1.3433698597964394e-13,0.3966842971543624,385
