model,N,max_VIF,mean_VIF
H3_cet1,348,73.45822807737399,30.085039328879844
H3_slr,335,38.98867586554351,16.20229828899064
H3_lcr,280,6.123145234812016,3.077418958080988
H1H2_group_diff,509,1.4739506808482519,1.2041640557228324
H1H2_group_fe,510,1.4629219764631207,1.188924955669955
H1H2_adl,510,1.0246779772963341,1.0131003092832924
H1H2_first_diff,509,1.0137193427379472,1.010957359375501
H1H2_baseline,510,1.0016477853986385,1.0012802380463992
