date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2024-03-31,2024,1,citigroup,2432510.0,188985.0,2225112.0,11.95,117.0,5.84,0.33,3.5,33.79,288746.0,165.0
2024-03-31,2024,1,goldmansachs,1698440.0,107343.0,1579894.0,15.9,127.0,5.4,0.58,8.17,23.63,267479.0,123.04576025810977
2024-03-31,2024,1,jpmorgan,4090727.0,306737.0,3754090.0,15.3,112.0,6.1,1.29,16.66,25.87,322939.0,67.88731600447436
2024-03-31,2024,1,morganstanley,1228503.0,90448.0,1128363.0,15.0,125.0,5.4,0.8,9.82,42.56,82404.0,76.37323050503365
2024-03-31,2024,1,statestreet,338003.0,21965.0,313570.0,11.7,1.07,5.95,0.59,7.66,49.76,3576.0,12.186
2024-03-31,2024,1,wellsfargo,1959153.0,162335.0,1776479.0,12.43,126.0,6.85,0.98,10.85,29.65,22528.0,40.0
2023-12-31,2023,4,bankofamerica,3180151.0,263249.0,2888505.0,13.4,115.0,7.1,0.84,9.71,72.87,283887.0,86.0
2023-12-31,2023,4,bny,409877.0,36427.0,369057.0,11.5,117.0,7.3,0.81,8.48,202.47,14507.0,2.2
2023-12-31,2023,4,citigroup,2411834.0,187853.0,2205583.0,12.11,116.0,5.82,0.39,4.24,,264958.0,153.0
2023-12-31,2023,4,goldmansachs,1641594.0,105702.0,1524689.0,14.9,128.0,5.5,0.55,7.45,49.38,249887.0,128.70303659181596
2023-12-31,2023,4,jpmorgan,3875393.0,300474.0,3547515.0,15.0,113.0,6.1,1.31,16.89,34.54,213591.0,49.501167919929216
2023-12-31,2023,4,morganstanley,1193693.0,90288.0,1093711.0,15.5,129.0,5.5,0.78,9.39,100.65,62651.0,65.05867783762126
2023-12-31,2023,4,statestreet,297258.0,21823.0,273459.0,12.1,1.06,5.85,0.65,8.09,121.51,2867.0,15.157
2023-12-31,2023,4,wellsfargo,1932468.0,166287.0,1745025.0,11.43,125.0,7.09,1.0,11.0,40.79,77676.0,32.0
2023-09-30,2023,3,bankofamerica,3153090.0,258667.0,2866026.0,13.5,116.0,7.3,0.98,11.59,26.38,300703.0,77.0
2023-09-30,2023,3,bny,405248.0,36128.0,364226.0,11.4,121.0,6.1,0.87,9.57,34.76,14771.0,2.1
2023-09-30,2023,3,citigroup,2368477.0,190008.0,2158282.0,12.49,117.0,6.04,0.58,6.66,32.87,242611.0,132.0
